"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-22","0.00","0.0","0.0","68","40","44","14.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-23","0.00","0.0","0.0","70","44","48",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-24","0.00","0.0","0.0","72","48","54","26.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-25","0.00","0.0","0.0","71","44","49","34.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-26","0.00","0.0","0.0","71","49","53","126.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-27","0.00","0.0","0.0","62","42","49","87.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-02-28","0.00","0.0","0.0","67","37","44","19.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-01","0.00","0.0","0.0","71","40","50","16.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-02","0.00","0.0","0.0","69","46","53","8.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-03","0.00","0.0","0.0","78","50","61","19.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-04","0.00","0.0","0.0","83","55","67","26.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-05","0.00","0.0","0.0","81","49","56","32.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-06","0.00","0.0","0.0","81","49","58","13.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-07","0.00","0.0","0.0","81","53","62","16.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-08","0.00","0.0","0.0","83","58","64","70.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-09","0.00","0.0","0.0","80","51","57","26.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-10","0.00","0.0","0.0","84","52","62","14.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-11","0.00","0.0","0.0","87","55","63","19.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-12","0.00","0.0","0.0","88","59","69","26.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-13","0.00","0.0","0.0","85","53","57","21.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-14","0.00","0.0","0.0","85","55","56","18.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-15","0.00","0.0","0.0","87","56","59","6.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-16","0.00","0.0","0.0","90","59","72","31.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-17","0.00","0.0","0.0","91","66","67","67.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-18","0.00","0.0","0.0","81","51","52","44.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-19","0.00","0.0","0.0","85","52","62","100.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-20","0.00","0.0","0.0","73","58","60","101.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-21","0.02","0.0","0.0","71","51","54",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-22","0.00","0.0","0.0","75","49","52","54.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-23","0.00","0.0","0.0","72","47","59","21.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-24","0.08","0.0","0.0","77","50","54","65.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-25","0.00","0.0","0.0","72","54","62","113.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-26","0.00","0.0","0.0","79","56","58","55.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-27","0.00","0.0","0.0","80","57","62","42.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-28","0.00","0.0","0.0","82","56","60","21.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-29","0.00","0.0","0.0","87","60","71","8.7"
